Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Puerto Rico,987500,283300.0,39100.0,291000,1336900,142200,267800,23000.0,263200,3634000,,2012
Alabama,2143300,263600.0,85500.0,188000,620200,409600,258100,94600.0,642900,4705800,,2013
Alaska,365800,24800.0,11400.0,12400,73700,34900,16800,34400.0,130900,705100,,2013
Arizona,2768300,357000.0,104200.0,175000,928700,506300,395400,107500.0,1123300,6465700,,2013
Arkansas,1182300,136500.0,45300.0,122100,444700,230200,185200,58900.0,463400,2868600,,2013
California,17000500,2405300.0,521800.0,1262800,5780200,2064700,1628800,406900.0,6440200,37511300,,2013
Colorado,2568800,400600.0,77200.0,109500,541800,347200,222300,148000.0,714900,5130200,,2013
Connecticut,1898300,172900.0,51600.0,106000,447300,269900,173000,34300.0,325700,3479000,,2013
Delaware,455100,28200.0,16300.0,29800,136200,93400,37900,11000.0,90500,898500,,2013
District of Columbia,316400,33600.0,18700.0,26500,122200,31100,16700,6400.0,38700,610300,,2013
Florida,7300300,1160300.0,209700.0,719600,2374700,1668900,1426600,391200.0,3841800,19093200,,2013
Georgia,4477200,465500.0,130500.0,284000,1234500,599700,433700,240100.0,1825700,9690900,,2013
Hawaii,707100,57600.0,24200.0,36900,155200,126500,51800,78500.0,93800,1331500,,2013
Idaho,734100,121700.0,32700.0,41200,167900,129900,68700,29500.0,255300,1580900,,2013
Illinois,6525500,629500.0,167300.0,303100,1777900,939200,539300,90800.0,1598500,12571100,,2013
Indiana,3306200,283400.0,81700.0,167800,738400,525200,308900,55200.0,899600,6366500,,2013
Iowa,1609300,190300.0,64800.0,90800,338800,292600,119700,21800.0,262300,2990300,,2013
Kansas,1464800,182000.0,43800.0,71400,257500,240000,115900,75000.0,346200,2796500,,2013
Kentucky,2029600,174900.0,62700.0,153800,562600,359900,225900,74100.0,617200,4260900,,2013
Louisiana,1977300,214100.0,81300.0,177000,708100,276800,226300,68100.0,754200,4483200,,2013
Maine,586900,52300.0,33000.0,68100,190000,128200,63500,26000.0,143700,1291900,,2013
Maryland,3243600,294200.0,88900.0,142200,648000,451700,190900,119400.0,588600,5767500,,2013
Massachusetts,3722100,319700.0,148100.0,262300,995900,490100,237500,30500.0,245200,6451500,,2013
Michigan,4833000,474300.0,203200.0,332000,1352700,999900,326400,70700.0,1072100,9664300,,2013
Minnesota,3014100,377900.0,75800.0,122700,564000,474200,178900,40300.0,440000,5287800,,2013
Mississippi,1163100,124400.0,53700.0,139900,495600,196000,161700,63100.0,491700,2889200,,2013
Missouri,2943900,332600.0,72100.0,163700,631100,517500,316600,109000.0,766600,5853100,,2013
Montana,430200,71100.0,17200.0,23500,108100,91100,57500,22600.0,164900,986300,,2013
Nebraska,980400,139900.0,29100.0,46300,160400,142600,80500,36800.0,195100,1811200,,2013
Nevada,1349400,109500.0,33000.0,72500,234900,163800,159600,58400.0,564300,2745400,,2013
New Hampshire,738700,62100.0,12900.0,26200,105400,125400,58400,11900.0,139800,1280700,,2013
New Jersey,4857400,369200.0,105500.0,230000,882900,651800,405800,46200.0,1168000,8716900,,2013
New Mexico,744200,84700.0,39000.0,82500,383000,141900,122600,49500.0,392700,2040200,,2013
New York,9567700,807600.0,397100.0,755400,3229500,1352400,830200,104500.0,2075300,19119600,,2013
North Carolina,4198000,588900.0,124000.0,297000,1291600,786200,484100,261100.0,1491700,9522500,,2013
North Dakota,389800,62300.0,14500.0,15800,38200,62100,22100,16700.0,71800,693500,,2013
Ohio,5912800,481600.0,182900.0,292900,1461000,962400,596500,110300.0,1239300,11239600,,2013
Oklahoma,1658700,179500.0,58200.0,97700,490900,295900,201800,82200.0,662000,3726900,,2013
Oregon,1816200,234400.0,60100.0,119800,470800,342500,192400,43400.0,572000,3851600,,2013
Pennsylvania,6603000,632100.0,248300.0,393500,1400000,1229000,558800,84800.0,1195000,12344300,,2013
Rhode Island,526800,46300.0,22100.0,39100,111500,81500,51200,9400.0,120800,1008600,,2013
South Carolina,2063500,196600.0,64200.0,156900,632500,400400,259000,113900.0,729300,4616200,,2013
South Dakota,387400,75900.0,16600.0,21400,82100,70600,38900,17300.0,101300,811600,,2013
Tennessee,2882100,343300.0,108300.0,224700,892400,512500,342100,129900.0,883400,6318700,,2013
Texas,11567300,1165200.0,310500.0,679500,3445100,1370000,1075300,480100.0,5680000,25773000,,2013
Utah,1653900,201800.0,47700.0,45300,224300,154500,100300,40000.0,381700,2849400,,2013
Vermont,288800,24800.0,14300.0,25600,112800,59200,28600,6300.0,42400,602700,,2013
Virginia,4267700,423600.0,80500.0,171100,631500,678300,329200,379900.0,984000,7945700,,2013
Washington,3404300,399200.0,121300.0,184800,741400,540000,282800,165200.0,958700,6797800,,2013
West Virginia,828400,43200.0,29100.0,69300,253200,206400,103100,22600.0,242800,1798200,,2013
Wisconsin,3049900,276400.0,116700.0,184800,673500,486400,253600,47300.0,504000,5592500,,2013
Wyoming,318100,30500.0,8900.0,10900,42700,47000,21300,15400.0,72600,567300,,2013
Puerto Rico,891200,303000.0,48800.0,308500,1361200,139200,280200,16400.0,233400,3582000,,2013
Alabama,2191400,268700.0,86200.0,181200,648100,419500,263600,90700.0,564800,4714100,,2014
Alaska,337300,32600.0,12500.0,21100,81800,28100,21000,48500.0,123700,706600,,2014
Arizona,2834500,415100.0,105800.0,185000,1051000,525500,425000,117300.0,896900,6556200,,2014
Arkansas,1209000,168800.0,48000.0,112700,527800,240800,184100,49500.0,339200,2880000,,2014
California,17435800,2783400.0,614300.0,1365900,6806100,2051400,1781100,400200.0,4743300,37981600,,2014
Colorado,2621200,430000.0,80300.0,115500,692600,347500,241700,136700.0,551600,5217000,,2014
Connecticut,1880500,206600.0,48600.0,103400,521600,275700,171600,27500.0,244900,3480400,,2014
Delaware,483100,34000.0,13200.0,22200,131100,96200,42600,15600.0,67100,905300,,2014
District of Columbia,319000,38900.0,14000.0,25900,140300,32000,13000,6000.0,34500,623500,,2014
Florida,7468400,1595300.0,246400.0,758200,2524100,1677600,1550000,390900.0,3220100,19431100,,2014
Georgia,4573100,579600.0,132300.0,313700,1320700,602200,487800,235400.0,1547900,9792900,,2014
Hawaii,737800,56600.0,25800.0,34500,168200,127900,57200,73700.0,66400,1348100,,2014
Idaho,743100,158100.0,36700.0,40100,165900,132600,81600,26000.0,214800,1598800,,2014
Illinois,6564000,770300.0,168300.0,299400,1909700,947000,580000,91100.0,1239600,12569400,,2014
Indiana,3359100,317800.0,84100.0,162900,765600,546100,326900,54900.0,769300,6386700,,2014
Iowa,1616100,237100.0,75800.0,90200,364000,294500,128000,23800.0,172500,3002100,,2014
Kansas,1476700,203600.0,51100.0,73200,280700,239800,123000,63300.0,299300,2810700,,2014
Kentucky,2011800,219000.0,92500.0,170100,736300,365600,235500,64300.0,373700,4268800,,2014
Louisiana,2023500,260300.0,75500.0,176200,718100,279100,251100,70000.0,654700,4508500,,2014
Maine,603100,68200.0,27900.0,69100,184500,128500,68200,17200.0,127200,1293800,,2014
Maryland,3237700,322700.0,97900.0,144500,768300,457300,215600,116000.0,459300,5819300,,2014
Massachusetts,3698000,300200.0,156700.0,262600,1072300,503100,259500,33000.0,221300,6506500,,2014
Michigan,4880800,548900.0,230600.0,353600,1398900,1022900,357300,73600.0,816300,9682700,,2014
Minnesota,3022500,393000.0,115200.0,117900,636000,495900,189700,42500.0,317600,5330400,,2014
Mississippi,1180800,163100.0,53700.0,153200,501800,202200,158300,56100.0,417600,2886800,,2014
Missouri,2979600,411500.0,69200.0,165600,598300,497900,371000,96900.0,680100,5870200,,2014
Montana,438200,96000.0,10900.0,30500,109400,97300,56500,18600.0,136200,993700,,2014
Nebraska,988000,161200.0,28700.0,47100,162700,147300,79300,38800.0,170500,1823700,,2014
Nevada,1356500,152000.0,51100.0,73500,333000,171500,176100,52600.0,429000,2795200,,2014
New Hampshire,749800,74900.0,10300.0,23900,100500,128300,62100,16100.0,120600,1286500,,2014
New Jersey,4887800,441800.0,109300.0,226600,1011700,659100,419300,38600.0,961900,8756200,,2014
New Mexico,758100,96100.0,40000.0,76700,443300,156500,119800,44200.0,302000,2036700,,2014
New York,9609300,961600.0,437200.0,785400,3431400,1334100,892800,104100.0,1660500,19216400,,2014
North Carolina,4285800,718700.0,146800.0,309000,1315800,813600,503900,267200.0,1272200,9632900,,2014
North Dakota,407500,70100.0,14300.0,15000,47400,68200,20000,8300.0,57500,708400,,2014
Ohio,5927900,508600.0,189900.0,292300,1669900,989200,640900,103000.0,948600,11270300,,2014
Oklahoma,1700400,237600.0,59600.0,102300,486300,300400,212800,79000.0,571100,3749500,,2014
Oregon,1778900,249000.0,98500.0,128000,659800,341600,213800,38200.0,381800,3889600,,2014
Pennsylvania,6494600,811900.0,255900.0,400400,1415500,1250200,587200,84800.0,1067500,12368000,,2014
Rhode Island,511900,57400.0,24000.0,41900,161200,79300,55100,10900.0,71900,1013700,,2014
South Carolina,2051600,252600.0,84500.0,154700,670000,428000,273700,123800.0,635500,4674300,,2014
South Dakota,412700,84200.0,13600.0,26300,77900,70800,35900,18400.0,81900,821600,,2014
Tennessee,2900900,417100.0,133000.0,227400,931700,506300,368200,130900.0,759300,6374800,,2014
Texas,12133900,1547900.0,316800.0,693100,3511500,1414700,1184200,464900.0,5013100,26280100,,2014
Utah,1689500,231400.0,46500.0,50400,218300,163900,98500,35200.0,357900,2891800,,2014
Vermont,287700,37500.0,15000.0,27600,111400,58500,29800,4500.0,27900,600000,,2014
Virginia,4296200,520800.0,83600.0,163200,658700,678500,350900,382900.0,871000,8006000,,2014
Washington,3477300,472700.0,138400.0,195200,937100,551700,305800,176300.0,633000,6887600,,2014
West Virginia,810900,45300.0,41200.0,66000,332200,205300,112900,18500.0,159300,1791600,,2014
Wisconsin,3080800,336400.0,111400.0,176100,667500,489900,274100,50200.0,417200,5603600,,2014
Wyoming,308000,41000.0,10300.0,16000,43000,40000,25500,14000.0,70600,568500,,2014
Puerto Rico,858000,262800.0,49200.0,340900,1345600,141600,284200,17800.0,213800,3514000,,2014
Alabama,2205700,289700.0,94000.0,188400,666300,436000,272300,97500.0,480300,4730100,,2015
Alaska,337000,35100.0,18100.0,20800,101100,35300,17700,39800.0,102800,707500,,2015
Arizona,2884400,468200.0,127500.0,197000,1139300,552700,437200,112200.0,736600,6655100,,2015
Arkansas,1194200,203100.0,61200.0,129900,547300,246200,182800,46100.0,271500,2882300,,2015
California,17555200,2946300.0,753500.0,1430600,7989800,2128400,1839200,406100.0,3276000,38325100,,2015
Colorado,2657000,452500.0,95200.0,127300,798700,369900,251900,132800.0,430000,5315400,,2015
Connecticut,1884200,227200.0,56500.0,111100,515400,273200,176200,23300.0,210900,3478100,,2015
Delaware,473900,48200.0,22400.0,26000,139600,93600,49400,13700.0,51500,918300,,2015
District of Columbia,344300,43700.0,8800.0,23200,136000,36200,13200,5700.0,23600,634800,,2015
Florida,7664500,2026100.0,277700.0,778600,2668600,1772200,1563400,407900.0,2653500,19812500,,2015
Georgia,4694200,707200.0,152900.0,295000,1320200,632500,494400,237500.0,1375700,9909700,,2015
Hawaii,742300,70100.0,29100.0,45000,170100,119800,62300,71900.0,52100,1362600,,2015
Idaho,742700,178800.0,37900.0,47400,189100,137700,79400,22000.0,182200,1617200,,2015
Illinois,6610300,847800.0,179600.0,294700,2068200,972500,599300,87900.0,889400,12549700,,2015
Indiana,3376300,360100.0,96800.0,159300,829000,568300,332700,59400.0,633300,6415100,,2015
Iowa,1637000,229300.0,90800.0,91400,366300,298300,134000,26000.0,146800,3019800,,2015
Kansas,1525400,219000.0,56100.0,69100,251900,234900,136000,63000.0,261200,2816600,,2015
Kentucky,2000400,220200.0,104800.0,179200,821100,367700,256500,72300.0,261100,4283400,,2015
Louisiana,2030900,293100.0,89100.0,186500,751300,288100,263800,80600.0,546800,4530300,,2015
Maine,603900,93700.0,29300.0,79400,149900,124300,80400,21000.0,110600,1292600,,2015
Maryland,3263700,365200.0,97500.0,149600,779900,469900,216900,105800.0,389700,5838300,,2015
Massachusetts,3662800,329500.0,171400.0,259000,1129000,535300,253300,30500.0,185000,6555600,,2015
Michigan,4880000,553800.0,226300.0,359300,1615700,1048100,361600,64500.0,584400,9693800,,2015
Minnesota,3023200,392200.0,115000.0,120300,733500,503300,198700,38600.0,240600,5365600,,2015
Mississippi,1171600,181900.0,50700.0,154000,539800,207300,165300,57500.0,361300,2889300,,2015
Missouri,3017800,442300.0,86400.0,167600,620500,516600,364900,100400.0,574400,5890900,,2015
Montana,446200,107700.0,15800.0,27600,109300,103500,59800,19700.0,116300,1005900,,2015
Nebraska,1017800,164500.0,29500.0,52600,155200,146200,95000,33500.0,144000,1838400,,2015
Nevada,1351800,188500.0,51700.0,74800,401700,180000,195500,48800.0,349800,2842700,,2015
New Hampshire,753000,71500.0,14200.0,27700,118800,130500,67900,14700.0,89200,1287600,,2015
New Jersey,4862000,486300.0,128000.0,246800,1148700,658200,432000,41000.0,773400,8776300,,2015
New Mexico,738400,101000.0,50000.0,80000,521600,155600,125600,40900.0,222200,2035300,,2015
New York,9544600,1045900.0,471300.0,811000,3662900,1377000,891600,96500.0,1368400,19269200,,2015
North Carolina,4365800,839500.0,149500.0,325200,1327300,823600,534300,266800.0,1101600,9733700,,2015
North Dakota,404600,72100.0,13300.0,16400,48000,65000,29000,18200.0,60000,726400,,2015
Ohio,5898000,552300.0,234800.0,307200,1813000,1001900,651100,101800.0,733400,11293300,,2015
Oklahoma,1728800,242600.0,57200.0,106800,491500,323300,216400,79900.0,537200,3783700,,2015
Oregon,1807100,297300.0,113000.0,128800,700100,365600,215300,43900.0,277600,3948700,,2015
Pennsylvania,6521800,843700.0,285900.0,429100,1573500,1254300,624100,73300.0,780600,12386400,,2015
Rhode Island,527300,55700.0,27200.0,38600,165500,85000,54300,8200.0,52500,1014400,,2015
South Carolina,2141000,316900.0,88100.0,165600,673100,431100,291900,112900.0,513400,4734000,,2015
South Dakota,399000,84900.0,12100.0,21500,77400,71000,46000,24200.0,92900,829000,,2015
Tennessee,3001900,429600.0,124600.0,223700,943000,500200,413200,127000.0,659600,6422800,,2015
Texas,12552000,1840300.0,331400.0,709100,3649600,1423700,1246400,464700.0,4560300,26777500,,2015
Utah,1718300,283800.0,51500.0,54800,220800,166100,104000,31700.0,314300,2945200,,2015
Vermont,294800,35100.0,11700.0,31000,113300,55900,31900,4800.0,23800,602400,,2015
Virginia,4319700,572700.0,94500.0,166200,710400,715400,354300,366900.0,751000,8051200,,2015
Washington,3500300,518300.0,173600.0,207900,1099300,571900,320900,152300.0,458200,7002800,,2015
West Virginia,812000,68100.0,39100.0,72000,365000,200400,114300,22400.0,98200,1791500,,2015
Wisconsin,3153600,348600.0,113900.0,161300,683800,511200,282300,41800.0,324300,5620900,,2015
Wyoming,309000,44800.0,8900.0,14100,46200,48100,24800,13800.0,59300,568900,,2015
Puerto Rico,869600,252600.0,46500.0,340300,1286500,142300,292100,18100.0,195100,3443200,,2015
Alabama,2216700,318500.0,84200.0,196600,671900,438300,274300,94400.0,435200,4730100,,2016
Alaska,336100,32200.0,21000.0,15000,102000,36300,20900,47900.0,103500,714900,,2016
Arizona,2928500,447700.0,122100.0,208600,1255200,555800,462600,105700.0,674800,6760900,,2016
Arkansas,1215700,195800.0,68200.0,126400,577300,239700,195200,44900.0,232200,2895400,,2016
California,17805300,2873100.0,784700.0,1508000,8173400,2138800,1921300,396600.0,2841000,38442400,,2016
Colorado,2727500,437800.0,99900.0,128000,817600,366400,281400,125900.0,413700,5398100,,2016
Connecticut,1893600,215700.0,55500.0,111100,533900,279300,180900,25200.0,170000,3465100,,2016
Delaware,484800,52500.0,13700.0,27900,137200,93600,49700,11300.0,53500,924300,,2016
District of Columbia,335300,43300.0,11700.0,32200,140000,32100,16000,7900.0,26000,644400,,2016
Florida,7911800,2031100.0,322500.0,826100,2676800,1777000,1684300,390500.0,2524000,20144000,,2016
Georgia,4750700,742500.0,171500.0,323200,1298700,657200,520400,244400.0,1292300,10001000,,2016
Hawaii,756200,62200.0,26800.0,39500,173400,135900,53900,69300.0,47400,1364600,,2016
Idaho,778600,171000.0,32800.0,50000,194500,141000,87600,25100.0,170200,1650700,,2016
Illinois,6634000,833700.0,193100.0,323700,2020700,961500,630500,79700.0,814300,12491200,,2016
Indiana,3430900,371000.0,108900.0,176700,865000,552400,353000,54500.0,518900,6431400,,2016
Iowa,1646700,207600.0,87700.0,94200,410800,287200,149400,24400.0,122400,3030400,,2016
Kansas,1510100,234900.0,55500.0,72400,263400,241600,136500,65800.0,236700,2817000,,2016
Kentucky,1982800,225000.0,93200.0,163400,888300,380400,261300,72500.0,220800,4287700,,2016
Louisiana,1959600,320100.0,105600.0,185600,855000,297500,278500,67400.0,461100,4530500,,2016
Maine,620000,94100.0,23900.0,74300,152300,128800,78200,20100.0,102000,1293800,,2016
Maryland,3263400,368500.0,97300.0,164500,778600,477400,237500,111600.0,357700,5856500,,2016
Massachusetts,3652400,348500.0,172100.0,270600,1130700,537500,258300,36500.0,163900,6570600,,2016
Michigan,4916700,575300.0,234600.0,345600,1613000,1034000,399700,58100.0,516600,9693500,,2016
Minnesota,3030100,392500.0,127100.0,112600,727900,533600,205100,36600.0,227400,5392900,,2016
Mississippi,1218300,173400.0,57300.0,142000,515300,204900,180500,56300.0,339300,2887300,,2016
Missouri,3050900,461300.0,74600.0,172100,612000,519100,391000,88000.0,529100,5898000,,2016
Montana,440500,97200.0,24400.0,37600,146400,94100,66800,23200.0,84900,1015100,,2016
Nebraska,1014900,159300.0,23400.0,48100,165500,153800,84400,31900.0,163800,1845000,,2016
Nevada,1393700,186500.0,53800.0,75200,427500,194700,185300,52700.0,321000,2890400,,2016
New Hampshire,741700,75500.0,18800.0,31500,123600,132100,73000,12900.0,82100,1291300,,2016
New Jersey,4901100,501600.0,135000.0,246600,1140200,688300,436800,37300.0,675900,8762700,,2016
New Mexico,749000,102200.0,43700.0,82800,532100,152000,134800,49900.0,183000,2029400,,2016
New York,9451400,1140400.0,509900.0,836400,3729300,1377500,909200,96900.0,1170500,19221500,,2016
North Carolina,4471300,804900.0,171000.0,321400,1344700,850700,566900,269400.0,1029700,9829900,,2016
North Dakota,403300,72100.0,11500.0,18300,50600,70600,23800,18600.0,57000,725900,,2016
Ohio,5898400,553700.0,234500.0,309800,1856700,1004100,694800,97400.0,629400,11278700,,2016
Oklahoma,1711800,251400.0,67600.0,106300,516500,316400,236300,70400.0,524200,3800800,,2016
Oregon,1879400,305700.0,108900.0,126000,699200,378000,230600,37800.0,249000,4014500,,2016
Pennsylvania,6368900,832100.0,289100.0,421500,1743900,1287700,628200,70600.0,722700,12364700,,2016
Rhode Island,527000,70400.0,28000.0,46000,149000,83400,59300,8000.0,42900,1013900,,2016
South Carolina,2174800,328800.0,99900.0,174100,693000,442700,300100,115700.0,476200,4805300,,2016
South Dakota,440700,71000.0,14500.0,21200,82700,72500,44400,19700.0,69200,835800,,2016
Tennessee,3013400,438100.0,147200.0,235100,996800,516800,408900,119800.0,591700,6467700,,2016
Texas,12775700,1879900.0,360500.0,699100,3697500,1458200,1308900,476400.0,4522200,27178300,,2016
Utah,1801900,278200.0,60900.0,54800,235800,163700,114700,34300.0,255200,2999300,,2016
Vermont,288400,34900.0,11500.0,31800,116900,58300,31600,4600.0,21600,599600,,2016
Virginia,4362200,584700.0,92300.0,164300,672300,740200,373600,376900.0,714400,8080900,,2016
Washington,3624400,462200.0,175200.0,213900,1126200,585200,338800,174700.0,423800,7124100,,2016
West Virginia,773800,64600.0,47900.0,81600,382200,198500,125600,19800.0,87700,1781700,,2016
Wisconsin,3140500,350600.0,133700.0,181700,668900,503200,299900,52100.0,292600,5623300,,2016
Wyoming,296700,49400.0,10400.0,15200,45900,49100,25200,15100.0,62500,569400,,2016
Puerto Rico,818300,263100.0,48200.0,334600,1245000,147600,291900,15700.0,214600,3379100,,2016
Alabama,2179900,292200.0,99700.0,195000,683200,451400,294400,93100.0,452600,4741400,,2017
Alaska,320700,22900.0,18200.0,18200,120100,40600,22500,48200.0,98700,710100,,2017
Arizona,3075100,396400.0,129900.0,208100,1188400,571100,475800,110100.0,686400,6841300,,2017
Arkansas,1208600,183200.0,72200.0,136500,575900,246300,204300,49700.0,233100,2910000,,2017
California,18253400,2876500.0,771000.0,1488600,7978900,2131600,2050400,363900.0,2799600,38713900,,2017
Colorado,2771900,409600.0,105000.0,135600,833000,368200,296500,131500.0,409800,5461100,,2017
Connecticut,1871900,206500.0,62000.0,120500,523700,282900,191100,23600.0,196500,3478700,,2017
Delaware,494500,48500.0,25000.0,25400,116600,99800,55800,14300.0,52000,931700,,2017
District of Columbia,349700,40500.0,14000.0,35800,134800,33800,17200,7900.0,23900,657600,,2017
Florida,8155800,1985000.0,306000.0,843400,2670000,1777500,1758900,382300.0,2653500,20532300,,2017
Georgia,4922000,657700.0,158800.0,331900,1268800,652900,541900,233200.0,1354200,10121400,,2017
Hawaii,734100,65300.0,33400.0,34100,170200,139700,59700,68300.0,51300,1356100,,2017
Idaho,782500,160300.0,42600.0,54400,196500,142200,93100,29900.0,180500,1682100,,2017
Illinois,6675200,751400.0,179600.0,324600,1996000,967800,668900,76700.0,856400,12496600,,2017
Indiana,3419700,349500.0,115600.0,179700,875300,555300,362600,57800.0,543900,6459400,,2017
Iowa,1684000,203900.0,78600.0,86500,383400,299500,150900,25600.0,133200,3045600,,2017
Kansas,1539300,195500.0,44400.0,72000,264200,253800,137900,70400.0,240000,2817600,,2017
Kentucky,1999600,195500.0,95400.0,182000,890300,382500,265700,61000.0,234900,4307100,,2017
Louisiana,1974300,262300.0,113600.0,191000,979100,289900,286400,68000.0,377000,4541500,,2017
Maine,639100,84100.0,18800.0,73400,143600,129400,87400,22400.0,101800,1300200,,2017
Maryland,3310300,329400.0,97400.0,163400,789200,493300,239500,108100.0,362400,5892900,,2017
Massachusetts,3655700,357000.0,188100.0,260100,1116200,558200,268700,34200.0,182400,6620600,,2017
Michigan,4994900,524800.0,216800.0,352500,1612300,1045100,419800,55400.0,498700,9720300,,2017
Minnesota,3132200,315200.0,120400.0,111300,712200,532300,239600,40100.0,243300,5446600,,2017
Mississippi,1211100,172900.0,56100.0,157900,490900,216900,169800,60300.0,348500,2884500,,2017
Missouri,3052200,414500.0,86200.0,161700,633000,530500,418100,88600.0,536500,5921300,,2017
Montana,445800,95800.0,18000.0,30700,149000,99700,68200,22300.0,93100,1022600,,2017
Nebraska,1033200,147100.0,24800.0,43400,163300,153600,95500,37800.0,160500,1859200,,2017
Nevada,1451300,157100.0,50600.0,74900,432700,196300,204400,53200.0,325900,2946600,,2017
New Hampshire,743200,72100.0,20100.0,26500,132700,137500,79800,11700.0,73400,1297000,,2017
New Jersey,4939800,500100.0,140400.0,258700,1112200,669000,483700,47100.0,672900,8823900,,2017
New Mexico,738800,98400.0,55200.0,95500,533700,148800,139000,42500.0,186100,2038200,,2017
New York,9536300,1139400.0,520900.0,854800,3706500,1417400,944600,87400.0,1108600,19315700,,2017
North Carolina,4611100,713400.0,157400.0,326900,1346100,857100,595500,272800.0,1068600,9948800,,2017
North Dakota,421100,66000.0,10500.0,13800,53500,68100,26800,11700.0,54500,726000,,2017
Ohio,5897600,547000.0,211400.0,317400,1857900,1012600,717100,101200.0,661300,11323500,,2017
Oklahoma,1723800,223100.0,72300.0,109100,502800,318600,242100,80100.0,531900,3803700,,2017
Oregon,1912500,290400.0,98300.0,133700,697600,373700,243100,38900.0,274800,4063000,,2017
Pennsylvania,6467000,732600.0,289400.0,437300,1717700,1272100,715100,72600.0,685400,12389100,,2017
Rhode Island,520500,60900.0,24900.0,38100,176200,82900,58300,8500.0,45600,1015900,,2017
South Carolina,2205500,297200.0,87900.0,167800,666600,452200,333100,112800.0,541600,4864600,,2017
South Dakota,437400,73700.0,15300.0,23700,75500,68500,51800,13600.0,77300,837000,,2017
Tennessee,3112200,390000.0,138500.0,237400,966900,528400,424200,125300.0,615300,6538200,,2017
Texas,13126800,1671800.0,375700.0,718600,3607100,1457300,1383100,475000.0,4805800,27621300,,2017
Utah,1831800,273900.0,58100.0,51700,230400,170900,120400,35100.0,275000,3047400,,2017
Vermont,278000,29300.0,17300.0,29100,122200,59300,35700,4100.0,25100,600200,,2017
Virginia,4369800,562900.0,98400.0,180400,689800,748600,380500,390800.0,719500,8140700,,2017
Washington,3748100,441100.0,167000.0,204200,1134300,594800,365800,144600.0,440000,7239800,,2017
West Virginia,755100,65800.0,42200.0,76000,375300,198900,124700,22600.0,101400,1762100,,2017
Wisconsin,3191800,338400.0,125200.0,191200,632200,522800,311800,39900.0,289700,5643000,,2017
Wyoming,293700,37300.0,9300.0,13900,47900,52200,27900,12000.0,69200,563300,,2017
